year,transistors
2008,47000000
2008,410000000
2008,820000000
2008,228000000
2008,205000000
2007,820000000
2007,582000000
2006,291000000
2007,291000000
2006,167000000
2007,167000000
2008,731000000
2006,152000000
2006,151000000
2005,230000000
2006,376000000
2003,77000000
2004,140000000
2005,140000000
2004,77000000
2007,1720000000
2006,1720000000
2005,1720000000
2004,592000000
2003,410000000
2003,592000000
2002,220000000
2001,25000000
2004,410000000
2008,1900000000
2006,582000000
2006,1328000000
2007,410000000
2005,338000000
2005,125000000
2005,675000000
2005,169000000
2004,125000000
2002,286000000
2002,55000000
2002,110000000
2001,42000000
2004,286000000
2002,178000000
2002,108000000
2003,178000000
2003,55000000
2006,118000000
2001,55000000
2000,42000000
2004,178000000
2002,44000000
2001,44000000
1999,28100000
1999,9500000
2000,28000000
1999,28000000
1999,5000000
2001,28000000
2008,210000000
2008,105000000
1998,7500000
1998,19000000
1999,18900000
2000,28100000
2002,42000000
2005,188000000
2003,44000000
2002,140000000
1999,7500000
1997,7500000
1999,27400000
1995,5500000
1996,5500000
1993,3100000
1994,3300000
1996,4500000
1997,4500000
2007,176000000
1996,3300000
1995,3300000
1999,4500000
1998,4500000
1992,1400000
1994,1600000
1992,1200000
1991,900000
1990,855000
1989,1200000
1988,275000
1985,275000
1982,134000
1979,29000
1978,29000
1976,6500
1974,6000
1972,3500
1971,2300
